Year,Male Population Ages 75-79,Male Population Ages 50-54,Male Population Ages 15-64,Male Population Ages 00-04
1960,0.748730434,3.163008569,51.8603356,17.9797882
1961,0.751302717,3.161939015,51.62622561,17.73645888
1962,0.748862743,3.172475295,51.31731443,17.66204063
1963,0.743727298,3.183625891,51.0101428,17.70931508
1964,0.737854351,3.18162451,50.81940482,17.77133806
1965,0.732469132,3.158911092,50.78820544,17.78602965
1966,0.729315105,3.104096615,50.70609451,17.85340471
1967,0.724506443,3.035991136,50.77577275,17.82432171
1968,0.718731724,2.965264433,50.95287827,17.72276297
1969,0.711950157,2.906234211,51.17173018,17.59607829
1970,0.704771218,2.86611119,51.39881138,17.48079403
1971,0.698784713,2.83090041,51.50936414,17.41438182
1972,0.691031057,2.812924018,51.67225986,17.26831401
1973,0.68345314,2.80765547,51.87410235,17.07414171
1974,0.677443314,2.809672596,52.11211778,16.85835736
1975,0.673988647,2.815730537,52.38581739,16.64569876
1976,0.673049667,2.817734585,52.59282184,16.44858204
1977,0.672402634,2.826084965,52.84588925,16.21739231
1978,0.672209599,2.838833413,53.14160453,15.97296049
1979,0.672093674,2.853663741,53.47747145,15.73831279
1980,0.672443773,2.868983883,53.84808432,15.53215899
1981,0.673371265,2.878119898,54.16543233,15.3495846
1982,0.672286118,2.888675833,54.50990065,15.18611733
1983,0.672189076,2.900475573,54.87718691,15.03762502
1984,0.676303018,2.913369307,55.26321648,14.89433946
1985,0.685761387,2.927289772,55.66178112,14.75304913
1986,0.699081466,2.934502949,55.97430253,14.65661486
1987,0.714949365,2.942726155,56.3124902,14.52039501
1988,0.73034513,2.954812456,56.66315835,14.35826275
1989,0.741169059,2.974887315,57.01223439,14.18746784
1990,0.746251972,3.004682422,57.35354185,14.0220522
1991,0.747313798,3.039059649,57.63097556,13.87470133
1992,0.744278855,3.087058533,57.91447458,13.70379075
1993,0.740881656,3.138386673,58.20105983,13.52280106
1994,0.740905802,3.178430493,58.48823469,13.34770353
1995,0.745922577,3.200655953,58.77409458,13.18983287
1996,0.755425249,3.204867381,58.99609241,13.04647133
1997,0.766746241,3.190735937,59.20892673,12.93089388
1998,0.779727096,3.179624569,59.42615939,12.82584136
1999,0.79452775,3.201980932,59.66735464,12.70178178
2000,0.811542964,3.272392724,59.94150343,12.54103786
2001,0.828746629,3.380251875,60.15159461,12.41368733
2002,0.847679163,3.531718522,60.41553322,12.20923956
2003,0.86787116,3.702068125,60.71209834,11.95751157
2004,0.888725315,3.855185135,61.00938726,11.70372499
2005,0.910368206,3.970807413,61.29159733,11.47807845
2006,0.927257273,4.054065939,61.62308749,11.21889661
2007,0.945065875,4.106838727,61.92089582,11.0199919
2008,0.963974661,4.141548218,62.20500607,10.86725737
2009,0.984124896,4.176719152,62.50259515,10.7349133
2010,1.005923525,4.22248796,62.8212798,10.6055128
2011,1.021929242,4.271357771,63.12917799,10.50138051
2012,1.038658146,4.326049698,63.44719762,10.4033696
2013,1.058033887,4.385840667,63.75727585,10.30808411
2014,1.082508429,4.448627556,64.02919029,10.21891714
2015,1.113326635,4.512764636,64.24481011,10.14006355
2016,1.138753609,4.568536406,64.44736694,10.0714217
2017,1.171336527,4.62867295,64.61748357,9.986107933
2018,1.206512356,4.69049623,64.7568946,9.8890303
2019,1.238146953,4.750619844,64.87706615,9.78092482
